UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 22:14 ?        00:00:03 /usr/lib/systemd/systemd --switched-root --system --deserialize=52 splash
root           2       0  0 22:14 ?        00:00:00 [kthreadd]
root           3       2  0 22:14 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 22:14 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0 22:14 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0 22:14 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2  0 22:14 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0 22:14 ?        00:00:00 [kworker/R-netns]
root          12       2  0 22:14 ?        00:00:00 [kworker/u8:0-ipv6_addrconf]
root          13       2  0 22:14 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0 22:14 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 22:14 ?        00:00:00 [rcu_preempt]
root          16       2  0 22:14 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root          17       2  0 22:14 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          18       2  0 22:14 ?        00:00:00 [migration/0]
root          19       2  0 22:14 ?        00:00:00 [kprobe-optimizer]
root          20       2  0 22:14 ?        00:00:00 [idle_inject/0]
root          21       2  0 22:14 ?        00:00:00 [cpuhp/0]
root          22       2  0 22:14 ?        00:00:00 [cpuhp/1]
root          23       2  0 22:14 ?        00:00:00 [idle_inject/1]
root          24       2  0 22:14 ?        00:00:00 [migration/1]
root          25       2  0 22:14 ?        00:00:00 [ksoftirqd/1]
root          30       2  0 22:14 ?        00:00:00 [kdevtmpfs]
root          31       2  0 22:14 ?        00:00:00 [kworker/R-inet_frag_wq]
root          32       2  0 22:14 ?        00:00:00 [rcu_tasks_kthread]
root          33       2  0 22:14 ?        00:00:00 [rcu_tasks_rude_kthread]
root          34       2  0 22:14 ?        00:00:00 [kauditd]
root          35       2  0 22:14 ?        00:00:00 [khungtaskd]
root          36       2  0 22:14 ?        00:00:00 [oom_reaper]
root          38       2  0 22:14 ?        00:00:00 [kworker/R-writeback]
root          39       2  0 22:14 ?        00:00:00 [kcompactd0]
root          40       2  0 22:14 ?        00:00:00 [ksmd]
root          42       2  0 22:14 ?        00:00:00 [khugepaged]
root          43       2  0 22:14 ?        00:00:00 [kworker/R-kblockd]
root          44       2  0 22:14 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root          45       2  0 22:14 ?        00:00:00 [kworker/R-kintegrityd]
root          46       2  0 22:14 ?        00:00:00 [irq/9-acpi]
root          47       2  0 22:14 ?        00:00:00 [kworker/R-tpm_dev_wq]
root          48       2  0 22:14 ?        00:00:00 [kworker/R-ata_sff]
root          49       2  0 22:14 ?        00:00:00 [kworker/R-md_bitmap]
root          50       2  0 22:14 ?        00:00:00 [kworker/R-md_llbitmap_io]
root          51       2  0 22:14 ?        00:00:00 [kworker/R-md_llbitmap_unplug]
root          52       2  0 22:14 ?        00:00:00 [kworker/R-md]
root          53       2  0 22:14 ?        00:00:00 [kworker/R-edac-poller]
root          54       2  0 22:14 ?        00:00:00 [kworker/R-devfreq_wq]
root          55       2  0 22:14 ?        00:00:00 [watchdogd]
root          56       2  0 22:14 ?        00:00:00 [kworker/R-quota_events_unbound]
root          57       2  0 22:14 ?        00:00:00 [kswapd0]
root          58       2  0 22:14 ?        00:00:00 [ecryptfs-kthread]
root          60       2  0 22:14 ?        00:00:00 [kworker/R-kthrotld]
root          61       2  0 22:14 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root          63       2  0 22:14 ?        00:00:00 [scsi_eh_0]
root          64       2  0 22:14 ?        00:00:00 [kworker/R-scsi_tmf_0]
root          65       2  0 22:14 ?        00:00:00 [scsi_eh_1]
root          66       2  0 22:14 ?        00:00:00 [kworker/R-scsi_tmf_1]
root          70       2  0 22:14 ?        00:00:00 [kworker/R-mld]
root          71       2  0 22:14 ?        00:00:00 [kworker/R-ipv6_addrconf]
root          72       2  0 22:14 ?        00:00:00 [kworker/u8:1-ipv6_addrconf]
root          73       2  0 22:14 ?        00:00:00 [kworker/R-kstrp]
